Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Salsa rosa;Salse;Maionese;8;449;3592;Maionese;salsa ketcup;worcester sauce;cognac o brandy;;;;;;;;;;;;;;;Mescolare la maionese con il ketcup finchè avrà un bel colore rosato.;Aggiungere qualche goccia di worcester sauce.;Aggiungere qualche goccia di liquore.;Assaggiare.;;;;;;;;;;;;;;;Servire fredda su pesci lessi o arrosti. 
Salsa tonnata;Salse;Tonno;4;222;888;80 gr. di tonno sott'olio;100 gr. di maionese;un cucchiaio di prezzemolo tritato;capperi;acciuga;;;;;;;;;;;;;;Sgocciolare e frullare il tonno.;Aggiungere la maionese.;Aggiungere il prezzemolo.;Frullare capperi e acciuga;Aggiungere al composto;Mescolare bene.;;;;;;;;;;;;;Ottima per carni, pesci e verdure lessate.
Arista di maiale in pentola a pressione;Secondi piatti;Carne rossa;;;0;1 kg di arista di maiale;1 spicchio d'aglio;50 gr. di burro;50 gr. di olio;rosmarino;salvia;maggiorana;timo;sale;pepe;1 dado da brodo;1 tazza d'acqua;1 cipollotto fresco;1 po' di pancetta a pezzi;;;;;Sciogliere il burro con l'olio;Rosolare il cipollotto a pezzettini e la pancetta;Rosolare la carne ;Salare e pepare ;Aggiungere l'aglio e le spezie;Mettere una tazza d'acqua e sciogliere il dado.;Chiudere il coperchio e portare a bollore;Cuocere a fiamma bassa x circa 45 min.;Spegnere, sfiatare e togliere la carne;Far ritirare il sugo;Affettare la carne e scaldarla nel sugo;;;;;;;;Ottima!!! Gran sistema x cuocere un piccolo buon arrosto! (Senza forno!)
Arrosto al latte;Secondi piatti;Carne rossa;8;;0;2 kg. di arista di maiale;latte;2 dadi;salvia;rosmarino;;;;;;;;;;;;;;Far riscaldare molto bene una pentola larga AMC.;Metterci la carne e rosolarla da tutti i lati.;Fuori dal fuoco aggiungerci il latte sufficiente a coprirla.;Aggiungerci salvia, rosmarino e i dadi.;Coprire e far prendere bollore.;Scoprire leggermente e far cuocere girando ogni tanto la carne.;Far restringere quasi tutto il sugo.;Quando la carne è cotta, metterla su di un tagliere.;Far asciugare il sugo a piacere e filtrarlo.;Tagliare la carne a fette.;Metterle nella pentola con il sugo filtrato.;Far riposare qualche ora.;Scaldare e servire.;;;;;;Ricetta della nonna Giuliana.
Arrosto al sale;Secondi piatti;Carne rossa;12;179;2148;1 kg. carne per roast-beef;2 scatole di sale grosso;salvia e rosmarino tritati;;;;;;;;;;;;;;;;In una teglia da forno fare uno strato di sale alto 2 dita.;Appoggiarci la carne.;Cospargerla di salvia e rosmarino su tutta la superficie.;Coprire con il sale grosso.;Comprimere bene.;Cuocere in forno caldissimo (220°-250°) per 40- 60 min.;Rompere la crosta e far raffreddare.;Tagliare a fette sottili con l'affettatrice.;;;;;;;;;;;
Arrosto di maiale;Secondi piatti;Carne rossa;;;0;lonza di maiale;sale grosso;rosmarino;pancetta;olio di oliva;;;;;;;;;;;;;;Frullare il sale grosso.;Aggiungere il rosmarino.;Tritare ancora un po' insieme.;Avvolgere la carne con fettine di pancetta.;Passare il pezzo di carne nel trito e ricoprirlo completamente.;Mettere l'arrosto in una teglia da forno.;Aggiungere un pochino di olio.;Passare in forno a 180° per circa un'ora.;(Controllare la cottura dal colore ed eventualmente con uno stecchino).;;Cottura 1 ora per kilo;;;;;;;;Ricetta di Giovanna Frazzarin.
Arrosto di tacchino al pompelmo rosa;Secondi piatti;Carne bianca;;;0;1 kg. di fesa di tacchino;150 gr. di speck;2 pompelmi rosa;1/2 bicchiere di vino bianco secco;olio extra vergine d'oliva;sale;pepe;;;;;;;;;;;;Avvolgere la fesa dii tacchino con le fette di speck.;Accendere il forno a 180°.;Salare e mettere in forno con un po' di vino.;Aspettare un attimo che evapori.;Aggiungere il succo di polmelmo e coprire con un foglio di alluminio.;Cuocere fino a cottura girandolo 2 o 3 volte.;Togliere l'alluminio e far dorare (circa 10 min.);Tagliare le fette e metterle in un piatto con le fettine di pompelmo.;Insaporire con un po' di pepe.;;;;;;;;;;Ricetta di marina Stoppa
Arrosto di tacchino alla panna;Secondi piatti;Carne bianca;;;0;fesa di tacchino;spicchio di aglio;rosmarino;sale;farina;burro;marsala;panna fresca ;funghi secchi;;;;;;;;;;Tritare l'aglio, il rosmarino e il sale.;Massaggiare la carne con il composto.;Infarinare.;Far rosolare in una pentola alta con il burro.;Aggiungere il marsala e far evaporare.;Aggiungere la panna e i funghi ammollati.;Cuocere coperto fino a cottura.;Scoperchiare e far ritirare il sugo.;Affettare la carne e frullare il sugo con i funghi e il resto.;Servire caldo.;;;;;;;;;Ottimo con delle patate arrosto o fritte.
Arrosto di tacchino della nonna Giovanna;Secondi piatti;Carne bianca;;;0;1/2 petto di tacchino;pancetta affumicata;olio;dado;aglio;salvia;rosmarino;1/2 bicchiere di vino bianco;patate;;;;;;;;;;Rosolare il tacchino con la pancetta sul fornello.;Aggiungere tutti gli ingredienti rimasti tranne il vino.;Infornare con poca acqua e dado.;Cuocere coperto, poi scoperchiare.;Aggiungere il vino e le patate a tocchetti.;Quando è cotto (circa 1 ora e 1/2) tagliare a fette;Mettere nel sugo e finire di far insaporire.;;;;;;;;;;;;Ricetta della nonna Giovanna. Buonissimo! Il sapore del vecchio tacchino arrosto!
Arrosto di tacchino in pentola a pressione;Secondi piatti;Carne bianca;;;0;800 gr. di tacchino;100 gr. di cipolla;sale;pepe;salvia;olio;brodo;farina;marsala;pancetta affumicata;;;;;;;;;Infarinare la carne;Rosolarla con un po' d'olio;Aggiungere cipolla tritata, pancetta e salvia;Sale e pepe;Marsala e far evaporare;Aggiungere 3/4 di tazza di brodo;Cuocere 20 min dal fischio;Togliere la carne, addensare un po' il sugo;Servire la carne a fette con il sugo ben caldo;;;;;;;;;;Arrosto dal sapore di vecchi tempi e molto veloce da fare! Ottimo!
Bistecche al rosmarino;Secondi piatti;Carne rossa;4;270;1080;rosmarino tritato;4 fette di roast-beef;olio;sale;pepe;olio aromatizzato al peperoncino;;;;;;;;;;;;;Cospargere di rosmarino le fette di carne.;Lasciarle riposare per 30 minuti.;Ungere abbondantemente una griglia.;Cuocere la carne per 5 min. ( o meno se piace al sangue);Salare e pepare.;Irrorare con un filo di olio aromatico.;;;;;;;;;;;;;
Carne ai funghi;Secondi piatti;Carne bianca;4;200;800;Petto di tacchino a tocchetti;olio extravergine;sale;prezzemolo;funghi misti surgelati;;;;;;;;;;;;;;Rosolare la carne con un po' d'olio.;A parte cuocere i funghi con olio, sale e prezzemolo.;Quando hanno perso l'acqua di vegetazione aggiungerli alla carne.;Finire di cuocere la carne con i funghi.;;;;;;;;;;;;;;;Servire con purè o con polenta.
Carne alla cipolla;Secondi piatti;Carne rossa;;;0;1 kg. di spezzatino di maiale;1 kg. di cipolle;olio;sale;1\2 bicchiere di vino bianco;pimento;;;;;;;;;;;;;Affettare le cipolle a velo.;Metterle in una capace padella, aggiungere poco olio e acqua.;Coprire e far cuocere finchè diventano trasparenti.;Salare, scoperchiare e far rosolare.;Aggiungere la carne.;Quando ha preso un po' di colore aggiungere il vino.;Aggiungere un po' di pimento e coprire.;Far cuocere fino a cottura mescolando ogni tanto.;Scoperchiare e far rosolare bene facendo ritirare il sugo.;;;;;;;;;;E' ottimo preparato il giorno prima in modo che la carne si amalgami bene con le cipolle. Ogni tanto dare una bella scaldata per farlo colorire bene. (Servire con anelli di cipolla fritti). Ricetta della nonna Giuliana.
Carne alle cipolle;Secondi piatti;Carne rossa;4;271;1084;4 bistecche;burro;olio;2 cipolle;sale;acqua;;;;;;;;;;;;;Affettare le cipolle sottilissime.;Metterle in una larga padella.;Farle rosolare con poco olio e un pezzettino di burro.;Appena sono un po' colorite aggiungere un po' di acqua.;Coprire e far cuocere finchè diventeranno trasparenti.;Battere bene le bistecche.;Metterle nella padella con le cipolle.;Cuocere e salare.;Servire calde o riscaldate.;;;;;;;;;;Ottime se servite con del purè.                                                                                                                                                  Ricetta della nonna Nina.
Carne cruda;Secondi piatti;Carne rossa;6;254;1524;carne macinata di vitello;limone;aglio;olio;pepe;sale;;;;;;;;;;;;;Frullare l'aglio in modo che diventi una poltiglia.;Aggiungere il sale, il pepe, il limone e l'olio.;Aggiungere la carne e mescolare con cura.;Dopo una mezz'ora disporla su di un piatto da portata.;Guarnire con rondelle di limone.;;;;;;;;;;;;;;Ricetta del nonno Mario.
Costine alla cinese;Secondi piatti;Carne rossa;6;619;3714;2 kg. di costine di maiale;3-4 cucchiai di olio;1 cucchiaino di zucchero;2-3 cucchiai di salsa di soia;1\2 litro di acqua;sale;;;;;;;;;;;;;Mettere l'olio in una pentola larga e alta.;Aggiungere lo zucchero e far dorare.;Far raffreddare fuori dal fuoco.;Aggiungerci le costine.;Mescolare bene e mettere sul fuoco.;Aggiungere la salsa di soia.;Metterci l'acqua e un po' di sale.;Coprire e cuocere a fuoco basso per un'ora finchè la carne è tenera.;Scoperchiare e far evaporare un po'.;Tirare via le costine e tenerle da parte.;Mettere la pentola con il sugo in un luogo freddo.;Sgrassare lasciando solo un pochino di grasso.;Rimettere le costine. ;Scaldare tutto molto bene e servire.;;;;;Sono ottime servite con del riso cantonese o con del purè. Ricetta della nonna Giuliana. (Se avanza del sugo metterlo in una pentolina e portarlo a bollore. Cuocerci dentro le stelline facendo asciugare bene. Ottime!!!  MIA)
Curry Beef garam masala;Secondi piatti;Carne rossa;;;0;2 cipolle;1 spicchio d'aglio;zenzero fresco;olio;1 cucchiaino di cumino;un po' d'alloro;1 cucchiaino di curcuma;polvere di peperoncino q.b.;1 kg. di spezzatino di manzo;un po' di tubetto triplo concentrato;sale;;;;;;;;Scaldare l'olio con il cumino e l'alloro in pezzettini. ;Frullare la cipolla con l'aglio e un pezzettino di zenzero fresco.;Quando l'olio è aromatizzato far raffreddare un po'.;Aggiungere la crema di cipolle.;Mescolare e aggiungere curcuma e peperoncino a piacere.;Aggiungere la carne e rosolare bene. Salare;Cuocere 20 min. coperto a fuoco basso.;Eventualmente aggiungere un po' d'acqua.;Aggiungere un po' di pomodoro triplo concentrato;;;;;;;;;;Servire con riso o patate lesse o piadine (chapati) OTTIMO!!!!!!
Fegato in agrodolce;Secondi piatti;Fegato di vitellone;;;0;Fegato ;Burro;succo di limone;1 cucchiaino di zucchero;pane grattato;;;;;;;;;;;;;;Rosolare il fegato nel burro;Aggiungere un po' di pane grattato.;Mettere il succo del limone e lo zucchero;Finire di cuocere e servire.;;;;;;;;;;;;;;;Ricetta della nonna Nina. Ottimo! Servire con il purè.
Fette di tacchino al forno;Secondi piatti;Carne bianca;4;278;1112;400 gr. di petti di tacchino a fette;pangrattato;olio;sale;succo di un limone;;;;;;;;;;;;;;Mettere un po' d'olio in un piatto piano e salarlo.;Passarci le fette di tacchino da ambo le parti.;Passarli nel pane grattato.;Sbatterli leggermente in modo che perdano l'eccesso di pane.;Foderare una teglia da forno con la carta.;Metterci le fette di carne ben distanziate l'una dalle altre.;Cuocere a 150° per 30 min. senza mai toccarli.;Poi girarli.;Bagnarli con il succo di limone.;Cuocerli per altri 5-10 min. con il forno spento.;;;;;;;;;Ricetta di Eleonora Pulin. Ottimo se al pane grattato si aggiungono un po' di erbe di provenza.Mia idea
Fettine di lonza al curry;Secondi piatti;Carne rossa;4;305;1220;600 gr. di lonza a fette;olio;1 bicchiere di vino bianco;1 cucchiaino di curry;sale;pepe;6 fette di limone;;;;;;;;;;;;Scaldare l'olio in una larga padella.;Metterci le fette di carne e farle rosolare.;Bagnare con 1/2 bicchiere di vino bianco.;Cuocere a fuoco basso per 5 min.;Spolverizzare la carne con il curry.;Salare, pepare e cuocere per altri 10 min.;Versare poco alla volta 1/2 bicchiere di vino.;Alzare la fiamma e aggiungere le fette di limone tagliate a metà.;Lasciare sul fuoco finchè il sugo si sarà addensato.;Servire ben caldo insaporito con una macinata di pepe.;;;;;;;;;
Formaggio ai ferri;Secondi piatti;Formaggio;4;600;2400;600 gr. di formaggio;;;;;;;;;;;;;;;;;;Il formaggio deve essere di media stagionatura;Si può usare provola, montasio, ecc.;Tagliare il formaggio a fette spesse di 1 cm.;Metterle in freezer 20 min. in modo che poi non si scioglie.;Scaldare una piastra antiaderente sul fuoco.;Mettere le fette di formaggio e cuocere per 1 min.;Girarle subito, staccandole con una paletta.;Cuocere 1 min. dall'altro lato.;La superficie del formaggio deve assumere un colore bruno dorato.;Togliere le fette dalla piastra e servire su piatti individuali.;Servire subito finchè è caldo.;;;;;;;;"Ottimo il formaggio ""Sagra"" di S. Vito !!!"
Frico della Carnia;Secondi piatti;Formaggio;4;160;640;160 gr. di montasio semistagion.;un cucchiaio di olio d'oliva;;;;;;;;;;;;;;;;;Grattuggiare il formaggio con una grattugia a fori grossi.;Spennellare di olio il fondo di una padellina antiaderente.;Fare scaldare leggermente.;Metterci 2 cucchiai di Montasio e distribuire con l'aiuto di una spatola.;Girarlo appena si sarà sciolto e avrà formato una crosticina dorata.;Farlo dorare anche dall'altro lato.;Servire al più presto.;IN ALTERNATIVA:;Mettere il formaggio grattuggiato a cerchio su carta da forno.(16-18cm.);Infornare in forno caldo a 200° per pochi min.nella parte alta.;A doratura togliere. Cambiare la carta per fare altri frico.;;Se si mettono subito dentro delle coppette da macedonia prendono;la forma e si possono poi servire riempite, per esempio, di risotto;ai funghi.;;;;Al posto del Montasio si possono usare anche altri tipi di formaggio sempre semistagionati. 
Frico ricco;Secondi piatti;Formaggio;4;;0;50 gr. di pancetta;cipolla;olio;2 patate;sale;pepe;brodo o acqua;200 gr. di montasio;;;;;;;;;;;Rosolare la cipolla e la pancetta con un cucchiaio di olio.;Tagliare le patate sbucciate a fette sottili.;Distribuirle sulle cipolle e insaporire con sale e abbondante pepe. ;Cuocere su fuoco basso coperto.;Eventualmente bagnare con un po' di brodo o acqua.;Quando saranno cotte distribuirci sopra il formaggio a dadini.;Far cuocere finchè il formaggio si sarà sciolto.;Quando si sarà formato un tortino girarlo.;Far dorare bene anche dall'altro lato.;Servire ben caldo.;;;;;;;;;
"Frittata ""Gianna""";Secondi piatti;Uova;4;334;1336;5 uova;3 cucchiai di grana;2 cucchiai e 1\2 di pangrattato;cipolla;olio d'oliva;prezzemolo;sale;;;;;;;;;;;;Sbattere le uova con un po' di sale.;Aggiungere il formaggio e il pane.;Mescolare e aggiungere poco prezzemolo e poca cipolla.;Se dovesse risultare troppo liquida aggiungere ancora un po' di pane.;Mettere nella pentola un po' d'olio.;Versarci il composto di uova.;Appena i bordi solidificano girarli sopra alla frittata.;Far colare, a contatto con il fondo della pentola, tutto l'uovo crudo.;Formare così un grosso rotolo.;Tagliarlo a fette grosse.;Metterle in piedi in modo che si cucinino anche i bordi tagliati.;Togliere dalla padella e mettere su carta da cucina.;Servire ancora caldissime.;;;;;;Ricetta di Gianna Baggio.
Frittelle di carne;Secondi piatti;Carne rossa;;;0;500 gr. di carne macinata ;1 cipolla;100 gr. di grana;300 gr. di farina;200 gr. di latte;4 uova;1 bustina lievito x torte salate;sale;pepe;noce moscata;olio x friggere;;;;;;;;Cuocere la carne con la cipolla.;Salare e pepare.;Mescolare con uova. latte, grana, sale, pepe, noce moscata.;Poi farina per rendere una pastella morbida.;Aggiungere il lievito.;Friggere in poco olio a cucchiaiate.;;;;;;;;;;;;;Nella pastella si può mettere carne cruda e mortadella, tagliatelle cotte, o quello che più piace. OTTIME!!! Usare x Halloween.
Goulash;Secondi piatti;Carne rossa;;;0;Carne di manzo;Pomodori pelati;Cipolle;Olio;Paprika dolce;Peperoncino;Sale;Patate;;;;;;;;;;;Soffriggere appena la cipolla con un filo d'olio.;Agggiungere la carne, mescolare bene.;Aggiungere abbondante paprika e un po' di peperoncino.;Versare i pelati con il loro sugo, salare.;Coprire e cuocere per circa un'ora.;Aggiungere le patate sbucciate e a piccoli pezzi.;Cuocere finchè non diventano tenere.;Servire caldissimo.;;;;;;;;;;;Meglio se mangiato il giorno dopo averlo preparato. Veramente molto buon o servito con del pane fresco. Provare con il riso.
Involtini di pollo alle arachidi salate;Secondi piatti;Carne bianca;4;466;1864;600 gr. di petto di pollo a fette;1 cipolla;40 gr. di pancetta a dadini;80 gr. di arachidi salate;burro;olio d'olva;marsala;pepe;sale;;;;;;;;;;Rosolare la cipolla tritata con un po' di burro.;Aggiungere la pancetta e far insaporire.;Unire metà delle arachidi prima tritate con un coltello.;Bagnare con un po' di marsala.;Appiattire un po' le fette di pollo.;Distibuirvi sopra un po' di ripieno e arrotolare ad involtino.;Fermarli con uno stuzzicadenti.;Salare e pepare l'esterno degli involtini.;Scaldare l'olio e il burro in un largo tegame.;Metterci gli involtini e rosolarli per 6 min. a fuoco alto.;Versare un po' di marsala e le arachidi rimaste.;Abbassare il fuoco e al minimo e mettere il coperchio.;Cuocere 15 min. girandoli spesso.;Servire subito.;;;;;
Involtini di tacchino alla ricotta;Secondi piatti;Carne bianca;;;0;fette di tacchino sottili;sottilette;ricotta;latte;salvia;burro;farina;sale;(rosmarino);;;;;;;;;;Mescolare la ricotta con un filo di latte.;Salare e aggiungere la salvia tagliata sottile. (o il rosmarino o insieme);Mettere mezza sottiletta sul tacchino.;Aggiungere un po' di ricotta.;Chiudere ad involtino e fissare con uno stuzzicadenti;Infarinare leggermente.;Sciogliere il burro con qualche foglia di salvia;Cuocere gli involtini;;;;;;;;;;;Ottimi serviti con i piselli in tegame!!!!!!
Maiale al miele e zenzero;Secondi piatti;Carne rossa;;;0;3,5 cm. di zenzero fresco;scorza grattugiata di un'arancia;succo di 1/2 arancia;2 cucchiai di senape;2 cucchiai di miele;1 cucchiaio di aceto balsamico;2 cucchiai di salsa di soia;4 cucchiai di olio;sale;pepe;1 kg. di spezzatino di maiale;;;;;;;;Mettere il maiale nella marinatura per una notte in frigo.;Non esagerare con l'arancia.;Scolare la carne dal sugo e rosolarla a fuoco vivace nel wok.;Mettere il sugo a restringere in un padellino a parte.;Coprire la carne farla cuocere per un'oretta a fuoco basso.;Aggiungere il sugo e servire.;;;provare ad aggiungere un po' di worcester souce;;;;;;;;;;Ottima con riso bianco lessato. Ricetta modificata da me.
Maiale in agrodolce;Secondi piatti;Carne rossa;;;0;500 gr. di lonza di maiale;1 peperone rosso;1 cipolla;120 gr. di ananas fresco;3 cucchiai di fecola di patate;2 uova;olio;;SALSA:;1 cucchiaio e 1/2 di aceto;2 e 1/2 di ketcup;1 cucchiaio di salsa worchesters;5 cucchiai di zucchero;2 cucchiai di salsa di soia;1/2 cucchiaio di fecola di patate;1/2 bicchiere di acqua tiepida;;;Tagliare la lonza a dadini.;Marinarla nelle uova.;Soffriggere il peperone e la cipolla nel wok.;Infarinare il maiale nella fecola.;Togliere le verdure.;Rosolare la carne fino a quasi cottura;Unire peperone e cipolla.;Unire l'ananas a cubetti.;Salare.;Aggiungere la salsa e far addensare.;;;;;;;;;BUONAAAAAAAAAAAAAAAAAAAAA!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
